England,4009.00,7092,3074,1.769019706,336113.7441,52370.71589,283743.0282,
Northern Ireland,1312.00,3000,1349,2.286585366,434451.2195,70226.14329,364225.0762,
Scotland,3512.00,18862,8299,5.370728929,1020438.497,161395.7005,859042.7961,
Wales,708.00,2865,1272,4.046610169,768855.9322,122708.4746,646147.4576
